# ㄅ
不象,不像
标志,標誌
并拢,併攏
别扭,彆扭

# ㄆ
朴实,樸實
屏幕,螢幕
屏蔽,阻擋

# ㄈ
奋斗,奮鬥
放松,放鬆
发梢,髮梢
复杂,複雜
范围,範圍

# ㄉ
担任,擔任
点评,評價
夺舍,奪舍
斗志,鬥志
端庄,端莊
稻谷,稻穀

# ㄊ
头发,頭髮
涂鸦,塗鴉

# ㄌ
联系,聯繫

# ㄍ
关系,關係
过道,通道

# ㄎ
空闲,空閒

# ㄏ
糊涂,糊塗
胡须,鬍鬚

# ㄐ
拮据,拮据
忌妒,嫉妒
家伙,傢伙

# ㄑ
痊愈,痊癒
轻松,輕鬆
奇迹,奇蹟

# ㄒ
信息,訊息
向导,嚮導
闲地,閒地

# ㄓ
战斗,戰鬥
战栗,顫慄
证明,證明
支摊,擺攤

# ㄔ
淳朴,淳樸
重复,重複

# ㄕ
水平,水準
鼠标,滑鼠
视频,影片
刷屏,刷頻
设置,設定

# ㄗ
赞成,贊成

# ㄘ
采访,採訪

# ㄙ
松开,鬆開
私聊,私訊

# ㄧ
游戏,遊戲
游龄,遊齡
游走,遊走
游说,遊說
一并,一併
一松,一鬆

# ㄨ
网游,網遊
网络,網路
玩艺,玩意

# ㄜ
恶心,噁心

# 干
干扰,干擾
干嘛,幹嘛
干完,幹完
不干,不幹
若干,若干

# 制
强制,強制
限制,限制
控制,控制
压制,壓制
复制,複製

# 占
占卜,占卜
